symbol,profile,running,total_pnl_usdt,buys_today,spent_today,last_action
ETHUSDT,sentinel,True,0.0000,0,0.00,WAIT_CONFIRMATION
SOLUSDT,equilibrium,True,0.0000,0,0.00,WAIT_CONFIRMATION
